Time (microseconds),Ia,Ib,Ic,Controller.Id_Ref,Controller.Iq_Ref,Controller.Id,Controller.Iq
2311111.11,-0.20717616379261,-0.171595275402069,0.170081704854965,0.200000002980232,-0.200000002980232,0.118772141635418,-0.212150231003761
2316666.67,-0.198072493076324,0.0901345908641815,-0.102489352226257,0.200000002980232,-0.200000002980232,0.0961433723568916,-0.141537487506866
2322222.22,0.0884611457586288,-0.104806818068027,-0.197419866919518,0.200000002980232,-0.200000002980232,0.146011993288994,-0.0631094574928284
2327777.78,0.137439206242561,-0.250931173563004,0.0382319651544094,0.200000002980232,-0.200000002980232,0.150496408343315,-0.166535094380379
2333333.33,-0.210330173373222,-0.184314280748367,0.169461444020271,0.200000002980232,-0.200000002980232,0.11595157533884,-0.216439127922058
2338888.89,-0.210008308291435,0.065593495965004,-0.0793854221701622,0.200000002980232,-0.200000002980232,0.0723750442266464,-0.141783893108368
2344444.44,0.0743711590766907,-0.106764398515224,-0.240180805325508,0.200000002980232,-0.200000002980232,0.156784161925316,-0.0894993171095848
2350000.00,0.115152016282082,-0.303297907114029,0.0117124225944281,0.200000002980232,-0.200000002980232,0.167913019657135,-0.189406052231789
2355555.56,-0.193157494068146,-0.167984694242477,0.163320064544678,0.200000002980232,-0.200000002980232,0.10813320428133,-0.203528329730034
2361111.11,-0.184343799948692,0.113440856337547,-0.0833137482404709,0.200000002980232,-0.200000002980232,0.101953953504562,-0.146273270249367
2366666.67,0.0954666137695313,-0.0376646444201469,-0.23790068924427,0.200000002980232,-0.200000002980232,0.145849198102951,-0.127673536539078
2372222.22,0.0721249952912331,-0.313960671424866,0.0153918731957674,0.200000002980232,-0.200000002980232,0.17614583671093,-0.164303094148636
2377777.78,-0.215986892580986,-0.138466313481331,0.155798643827438,0.200000002980232,-0.200000002980232,0.137676075100899,-0.179828032851219
2383333.33,-0.236582919955254,0.126785218715668,-0.0731510892510414,0.200000002980232,-0.200000002980232,0.113794825971127,-0.186892509460449
2388888.89,0.033784992992878,-0.158783733844757,-0.233265295624733,0.200000002980232,-0.200000002980232,0.148295983672142,-0.0530686788260937
2394444.44,0.0626407489180565,-0.329595923423767,0.0179281588643789,0.200000002980232,-0.200000002980232,0.187006309628487,-0.162960037589073
2400000.00,-0.204702287912369,-0.178362146019936,0.105843983590603,0.200000002980232,-0.200000002980232,0.0927626863121986,-0.174420103430748
2405555.56,-0.218823879957199,0.0929798558354378,-0.0614413358271122,0.200000002980232,-0.200000002980232,0.0790527835488319,-0.160418272018433
2411111.11,0.0788024440407753,-0.0409927107393742,-0.252695590257645,0.200000002980232,-0.200000002980232,0.139276370406151,-0.132912039756775
2416666.67,0.0403179414570332,-0.308336436748505,0.0212366059422493,0.200000002980232,-0.200000002980232,0.183043718338013,-0.133134484291077
2422222.22,-0.207533046603203,-0.167191162705421,0.13061934709549,0.200000002980232,-0.200000002980232,0.117094755172729,-0.179810389876366
2427777.78,-0.25966003537178,0.0882163345813751,-0.0922113433480263,0.200000002980232,-0.200000002980232,0.094013012945652,-0.179642260074615
2433333.33,0.0653020516037941,-0.0707124024629593,-0.225730299949646,0.200000002980232,-0.200000002980232,0.134854331612587,-0.098668746650219
2438888.89,0.159754574298859,-0.311525881290436,0.0171429216861725,0.200000002980232,-0.200000002980232,0.181469649076462,-0.22341451048851
2444444.44,-0.237673655152321,-0.180948421359062,0.156233161687851,0.200000002980232,-0.200000002980232,0.140437871217728,-0.204814270138741
2450000.00,-0.294152617454529,0.0486361533403397,-0.0762785077095032,0.200000002980232,-0.200000002980232,0.0638681799173355,-0.197608768939972
2455555.56,0.0469277538359165,-0.0281875040382147,-0.244971409440041,0.200000002980232,-0.200000002980232,0.116714626550674,-0.130415797233582
2461111.11,0.0854439362883568,-0.324795454740524,-0.00182936270721257,0.200000002980232,-0.200000002980232,0.179916277527809,-0.173026069998741
2466666.67,-0.218185186386108,-0.142787307500839,0.171128183603287,0.200000002980232,-0.200000002980232,0.147250294685364,-0.186516597867012
2472222.22,-0.205078169703484,0.0815875008702278,-0.1343874335289,0.200000002980232,-0.200000002980232,0.117363058030605,-0.12801505625248
2477777.78,0.0759932547807693,-0.0986517295241356,-0.239611595869064,0.200000002980232,-0.200000002980232,0.155359357595444,-0.0879975855350494
2483333.33,0.0800820589065552,-0.350222617387772,0.00995730608701706,0.200000002980232,-0.200000002980232,0.202588692307472,-0.175016641616821
2488888.89,-0.216279521584511,-0.166563421487808,0.105914749205112,0.200000002980232,-0.200000002980232,0.114574454724789,-0.165817975997925
2494444.44,-0.226498931646347,0.0860237181186676,-0.0664199888706207,0.200000002980232,-0.200000002980232,0.0820126980543137,-0.16073851287365
2500000.00,0.0959156826138496,-0.137412875890732,-0.240108907222748,0.200000002980232,-0.200000002980232,0.184463202953339,-0.0673971623182297
2505555.56,0.100863792002201,-0.323271960020065,-0.0327449627220631,0.200000002980232,-0.200000002980232,0.162837341427803,-0.18856443464756
2511111.11,-0.214951753616333,-0.194201186299324,0.213997095823288,0.200000002980232,-0.200000002980232,0.13799324631691,-0.243532553315163
2516666.67,-0.219840317964554,0.0741562843322754,-0.164148956537247,0.200000002980232,-0.200000002980232,0.127032905817032,-0.128705680370331
2522222.22,0.059168379753828,-0.19732654094696,-0.240314126014709,0.200000002980232,-0.200000002980232,0.184365898370743,-0.023486515507102
2527777.78,0.00861112773418427,-0.319350332021713,-0.045846413820982,0.200000002980232,-0.200000002980232,0.146235391497612,-0.138210669159889
2533333.33,-0.208664134144783,-0.166762366890907,0.186173796653748,0.200000002980232,-0.200000002980232,0.140412956476212,-0.207360982894897
2538888.89,-0.238077864050865,-0.00201007048599422,-0.10108394920826,0.200000002980232,-0.200000002980232,0.0523825027048588,-0.126571998000145
2544444.44,0.0644401088356972,-0.0634099394083023,-0.227213457226753,0.200000002980232,-0.200000002980232,0.129525005817413,-0.0973732396960258
2550000.00,0.0866965427994728,-0.316356658935547,-0.097751185297966,0.200000002980232,-0.200000002980232,0.122913673520088,-0.199534550309181
2555555.56,-0.264712244272232,-0.183118641376495,0.185994014143944,0.200000002980232,-0.200000002980232,0.180378764867783,-0.216633424162865
2561111.11,-0.0181468613445759,0.0851958766579628,-0.0982613638043404,0.200000002980232,-0.200000002980232,0.102745190262794,-0.00801407173275948
2566666.67,-0.0141561739146709,-0.0776916667819023,-0.10079300403595,0.200000002980232,-0.200000002980232,0.0485431551933289,-0.0159734673798084
2572222.22,0.107165217399597,-0.346022695302963,0.042519386857748,0.200000002980232,-0.200000002980232,0.222137749195099,-0.175416171550751
2577777.78,-0.0934000164270401,-0.188318908214569,0.180949360132217,0.200000002980232,-0.200000002980232,0.0525861531496048,-0.214155808091164
2583333.33,-0.229515612125397,0.0908175259828568,0.0400628447532654,0.200000002980232,-0.200000002980232,0.0259026493877172,-0.198489844799042
