Time (microseconds),Controller.Vd_Ref,Controller.Vq_Ref,Controller.Id_Ref,Controller.Iq_Ref,Controller.Id,Controller.Iq
128413125.00,0.364404618740082,-0.39820471405983,0.5,-0.5,-0.00477404333651066,0.0461083576083183
128621250.00,0.365630239248276,-0.399432271718979,0.5,-0.5,-0.0105200316756964,0.0357300601899624
128829375.00,0.366973161697388,-0.40089875459671,0.5,-0.5,-0.0321599878370762,0.0650437027215958
129037500.00,0.367996126413345,-0.401915282011032,0.5,-0.5,-0.00527961179614067,0.0157743282616138
129245625.00,0.369173437356949,-0.403494328260422,0.5,-0.5,-0.0032243812456727,0.0620098076760769
129453750.00,0.370238095521927,-0.404667109251022,0.5,-0.5,0.0149836093187332,0.0375687181949615
129661875.00,0.371445536613464,-0.405934900045395,0.5,-0.5,0.0118026752024889,0.0352766178548336
129870000.00,0.372807502746582,-0.407309085130692,0.5,-0.5,-0.0206021200865507,0.0467909201979637
130078125.00,0.373894959688187,-0.408571004867554,0.5,-0.5,-0.00306189619004726,0.0389088951051235
130286250.00,0.374980062246323,-0.409762412309647,0.5,-0.5,0.0132214035838842,0.021340798586607
130494375.00,0.375979572534561,-0.411153763532639,0.5,-0.5,0.0450333468616009,0.0371382012963295
130702500.00,0.377345263957977,-0.412421822547913,0.5,-0.5,0.0177480075508356,0.034980546683073
130910625.00,0.378367781639099,-0.413770020008087,0.5,-0.5,0.042601190507412,0.0438891276717186
131118750.00,0.379770368337631,-0.415000468492508,0.5,-0.5,0.00920981448143721,0.0293867588043213
131326875.00,0.381083756685257,-0.416251450777054,0.5,-0.5,-0.0109953237697482,0.0233624931424856
131535000.00,0.382170140743256,-0.417529463768005,0.5,-0.5,0.00515369698405266,0.0168358571827412
131743125.00,0.383257985115051,-0.418875336647034,0.5,-0.5,0.0229988843202591,0.0251832455396652
131951250.00,0.384565651416779,-0.420201510190964,0.5,-0.5,0.00128318869974464,0.0306682866066694
132159375.00,0.385635375976563,-0.421621859073639,0.5,-0.5,0.0216655544936657,0.0540707036852837
132367500.00,0.386932075023651,-0.422895818948746,0.5,-0.5,0.00145845371298492,0.0512250624597073
132575625.00,0.388048589229584,-0.424221813678741,0.5,-0.5,0.0114188101142645,0.0587232112884521
132783750.00,0.389232486486435,-0.42536398768425,0.5,-0.5,0.0142147270962596,0.032288670539856
132991875.00,0.390460103750229,-0.426715880632401,0.5,-0.5,0.00652951747179031,0.0402010008692741
133200000.00,0.391608953475952,-0.428070694208145,0.5,-0.5,0.0124472919851542,0.0474611334502697
133408125.00,0.39304131269455,-0.42935448884964,0.5,-0.5,-0.0263558626174927,0.0460410714149475
133616250.00,0.385798364877701,-0.421433836221695,0.5,-0.5,1.12469434738159,-1.18494594097137
133824375.00,0.384565412998199,-0.420042157173157,0.5,-0.5,1.14848017692566,-1.14162063598633
134032500.00,0.382666796445847,-0.418602824211121,0.5,-0.5,1.22573637962341,-1.1076512336731
134240625.00,0.380810350179672,-0.417924463748932,0.5,-0.5,1.3309473991394,-0.94572126865387
134448750.00,0.379747986793518,-0.416914939880371,0.5,-0.5,1.30921173095703,-0.837522029876709
134656875.00,0.380243808031082,-0.413389414548874,0.5,-0.5,1.02379024028778,-1.15192377567291
134865000.00,0.379442870616913,-0.411454617977142,0.5,-0.5,0.957091808319092,-1.20478546619415
135073125.00,0.378370136022568,-0.40983447432518,0.5,-0.5,0.93934166431427,-1.20329070091248
135281250.00,0.37737911939621,-0.408125817775726,0.5,-0.5,0.943467855453491,-1.20327639579773
135489375.00,0.376238763332367,-0.406569480895996,0.5,-0.5,0.906416893005371,-1.22266340255737
135697500.00,0.375161051750183,-0.404671967029572,0.5,-0.5,0.889655947685242,-1.27469003200531
135905625.00,0.373918324708939,-0.402977108955383,0.5,-0.5,0.90358167886734,-1.29410088062286
136113750.00,0.372815787792206,-0.401562541723251,0.5,-0.5,0.894677877426147,-1.26122462749481
136321875.00,0.371956437826157,-0.399663954973221,0.5,-0.5,0.853835880756378,-1.31472373008728
136530000.00,0.370281189680099,-0.398678749799728,0.5,-0.5,0.949474334716797,-1.21822166442871
136738125.00,0.3684461414814,-0.397559553384781,0.5,-0.5,1.07285869121552,-1.14196789264679
136946250.00,0.367058664560318,-0.396817564964294,0.5,-0.5,1.1233469247818,-1.00070202350616
137154375.00,0.367904454469681,-0.393844336271286,0.5,-0.5,0.803411781787872,-1.2357714176178
137362500.00,0.367205888032913,-0.392130136489868,0.5,-0.5,0.742419958114624,-1.26378464698792
137570625.00,0.365077346563339,-0.391443997621536,0.5,-0.5,0.891902685165405,-1.14385795593262
137778750.00,0.362150937318802,-0.391156822443008,0.5,-0.5,1.14749431610107,-0.984381794929504
137986875.00,0.360851615667343,-0.39017042517662,0.5,-0.5,1.13287782669067,-0.944963395595551
138195000.00,0.359641253948212,-0.388656437397003,0.5,-0.5,1.10851538181305,-0.993429899215698
138403125.00,0.35836523771286,-0.387379229068756,0.5,-0.5,1.09631216526031,-1.00481677055359
138611250.00,0.35680091381073,-0.386227518320084,0.5,-0.5,1.13313579559326,-0.993553578853607
138819375.00,0.3556087911129,-0.385182291269302,0.5,-0.5,1.11175656318665,-0.965700149536133
139027500.00,0.354156941175461,-0.384093016386032,0.5,-0.5,1.13328874111176,-0.947667717933655
139235625.00,0.352274239063263,-0.383057832717896,0.5,-0.5,1.22752213478088,-0.92417961359024
139443750.00,0.350527584552765,-0.383063644170761,0.5,-0.5,1.30292809009552,-0.718729674816132
139651875.00,0.351058900356293,-0.380130708217621,0.5,-0.5,1.00616109371185,-1.00364112854004
139860000.00,0.349853187799454,-0.378839015960693,0.5,-0.5,0.998254179954529,-1.02013719081879
140068125.00,0.348520964384079,-0.377711623907089,0.5,-0.5,1.00812387466431,-1.00931739807129
140276250.00,0.347736060619354,-0.376362472772598,0.5,-0.5,0.931541681289673,-1.04035925865173
140484375.00,0.346633672714233,-0.375090926885605,0.5,-0.5,0.910731911659241,-1.05698728561401
140692500.00,0.345369040966034,-0.373571008443832,0.5,-0.5,0.914876937866211,-1.11227715015411
140900625.00,0.344115704298019,-0.372335135936737,0.5,-0.5,0.918346285820007,-1.12295413017273
141108750.00,0.34291809797287,-0.371281147003174,0.5,-0.5,0.913065671920776,-1.1093202829361
