Time (microseconds),Ia,Controller.Vd_Ref,Controller.Vq_Ref,Controller.Id_Ref,Controller.Iq_Ref,Controller.Id,Controller.Iq
69166666.67,0.952539205551147,0.201175510883331,-0.218775376677513,1,-0.699999988079071,1.0668363571167,-0.665248870849609
69270833.33,0.212976306676865,0.203018888831139,-0.217251524329185,1,-0.699999988079071,1.03320109844208,-0.646465539932251
69375000.00,-0.603754937648773,0.207136362791061,-0.218802034854889,1,-0.699999988079071,0.962889552116394,-0.632284343242645
69479166.67,-1.1130119562149,0.206722646951675,-0.220088616013527,1,-0.699999988079071,0.969035565853119,-0.696605443954468
69583333.33,-1.0998523235321,0.205743461847305,-0.220438972115517,1,-0.699999988079071,0.985006213188171,-0.724034547805786
69687500.00,-0.556236624717712,0.204749330878258,-0.220817849040031,1,-0.699999988079071,0.999903202056885,-0.699103713035584
69791666.67,0.270618557929993,0.204416170716286,-0.220403909683228,1,-0.699999988079071,1.00422489643097,-0.680090963840485
69895833.33,1.01425397396088,0.20134662091732,-0.222403824329376,1,-0.699999988079071,1.05342388153076,-0.676590919494629
70000000.00,1.24097049236298,0.198038846254349,-0.224213823676109,1,-0.699999988079071,1.1065821647644,-0.672316312789917
70104166.67,0.916668593883514,0.200859129428864,-0.22075343132019,1,-0.699999988079071,1.0566086769104,-0.680866837501526
70208333.33,0.148166477680206,0.200971886515617,-0.220225244760513,1,-0.699999988079071,1.05299949645996,-0.649478793144226
70312500.00,-0.622139036655426,0.204767927527428,-0.217979401350021,1,-0.699999988079071,0.98792564868927,-0.622734248638153
70416666.67,-1.13253903388977,0.206737458705902,-0.218488484621048,1,-0.699999988079071,0.953925311565399,-0.682280957698822
70520833.33,-1.15129685401917,0.203464224934578,-0.219792693853378,1,-0.699999988079071,1.00574815273285,-0.69367116689682
70625000.00,-0.590348541736603,0.205291137099266,-0.219761997461319,1,-0.699999988079071,0.973976671695709,-0.732414901256561
70729166.67,0.25287264585495,0.204136535525322,-0.221479535102844,1,-0.699999988079071,0.991188645362854,-0.724578022956848
70833333.33,0.995379507541656,0.202434673905373,-0.227257907390594,1,-0.699999988079071,1.01847720146179,-0.704171419143677
70937500.00,1.23498678207397,0.197980433702469,-0.224940031766891,1,-0.699999988079071,1.09042978286743,-0.701800048351288
71041666.67,0.910872638225555,0.198972061276436,-0.222162708640099,1,-0.699999988079071,1.07132422924042,-0.680550038814545
71145833.33,0.116500772535801,0.199298277497292,-0.219217091798782,1,-0.699999988079071,1.06312072277069,-0.586795628070831
71250000.00,-0.685979604721069,0.201810926198959,-0.218209251761436,1,-0.699999988079071,1.01912522315979,-0.628328859806061
71354166.67,-1.1880544424057,0.204031422734261,-0.218609929084778,1,-0.699999988079071,0.980122685432434,-0.677118301391602
71458333.33,-1.10908079147339,0.203785970807076,-0.221463024616241,1,-0.699999988079071,0.982822418212891,-0.72768497467041
71562500.00,-0.520256102085114,0.202500328421593,-0.222400680184364,1,-0.699999988079071,1.00151324272156,-0.745068669319153
71666666.67,0.340584248304367,0.201006576418877,-0.226602435112,1,-0.699999988079071,1.02445387840271,-0.734171152114868
71770833.33,1.02587461471558,0.201571822166443,-0.224215745925903,1,-0.699999988079071,1.01370167732239,-0.69380658864975
71875000.00,1.28495180606842,0.200893878936768,-0.220244735479355,1,-0.699999988079071,1.02313649654388,-0.680240988731384
71979166.67,0.925607442855835,0.198737561702728,-0.220044299960136,1,-0.699999988079071,1.05562376976013,-0.611458420753479
72083333.33,0.114820711314678,0.198767200112343,-0.220328152179718,1,-0.699999988079071,1.05303335189819,-0.653065800666809
72187500.00,-0.67588222026825,0.202370658516884,-0.220601111650467,1,-0.699999988079071,0.990835547447205,-0.720134854316711
72291666.67,-1.15363430976868,0.203620716929436,-0.222269162535667,1,-0.699999988079071,0.968361735343933,-0.726177275180817
72395833.33,-1.11108946800232,0.203377053141594,-0.222949475049973,1,-0.699999988079071,0.971155881881714,-0.723340749740601
72500000.00,-0.583346247673035,0.202714085578918,-0.221702456474304,1,-0.699999988079071,0.981349468231201,-0.719070792198181
72604166.67,0.308124363422394,0.203748241066933,-0.223874405026436,1,-0.699999988079071,0.963006496429443,-0.693244159221649
72708333.33,1.00667190551758,0.200358495116234,-0.225160911679268,1,-0.699999988079071,1.01854074001312,-0.683760166168213
72812500.00,1.25360250473022,0.197231739759445,-0.225477874279022,1,-0.699999988079071,1.06843328475952,-0.706464469432831
72916666.67,0.907143473625183,0.198686972260475,-0.222596749663353,1,-0.699999988079071,1.0415472984314,-0.67086124420166
73020833.33,0.0766798704862595,0.198206394910812,-0.220753192901611,1,-0.699999988079071,1.04739010334015,-0.651993215084076
73125000.00,-0.718025088310242,0.199841111898422,-0.222263485193253,1,-0.699999988079071,1.01941466331482,-0.650590538978577
73229166.67,-1.18307292461395,0.201741188764572,-0.223457470536232,1,-0.699999988079071,0.985402584075928,-0.699000000953674
73333333.33,-1.07320892810822,0.201349034905434,-0.22498831152916,1,-0.699999988079071,0.990619659423828,-0.731236100196838
73437500.00,-0.495678871870041,0.200582846999168,-0.224325597286224,1,-0.699999988079071,1.00107264518738,-0.707825899124146
73541666.67,0.359661012887955,0.200004786252975,-0.225814804434776,1,-0.699999988079071,1.00940370559692,-0.690194129943848
73645833.33,1.04325270652771,0.198647126555443,-0.227301672101021,1,-0.699999988079071,1.02993953227997,-0.666325211524963
73750000.00,1.24751377105713,0.196289509534836,-0.225294038653374,1,-0.699999988079071,1.06691265106201,-0.678940057754517
73854166.67,0.899484157562256,0.19681641459465,-0.223861262202263,1,-0.699999988079071,1.05575942993164,-0.65319436788559
73958333.33,0.0555602312088013,0.19713282585144,-0.223483458161354,1,-0.699999988079071,1.04833281040192,-0.633573353290558
74062500.00,-0.704056918621063,0.201124057173729,-0.221530944108963,1,-0.699999988079071,0.980397045612335,-0.668761372566223
74166666.67,-1.18216919898987,0.202730312943459,-0.221779137849808,1,-0.699999988079071,0.95186048746109,-0.694877743721008
74270833.33,-1.08051240444183,0.199408814311028,-0.225202471017838,1,-0.699999988079071,1.00666928291321,-0.703317701816559
74375000.00,-0.479843437671661,0.202388569712639,-0.226157903671265,1,-0.699999988079071,0.954874634742737,-0.736454129219055
74479166.67,0.419482856988907,0.198310136795044,-0.226958602666855,1,-0.699999988079071,1.02145385742188,-0.734102725982666
74583333.33,1.04388082027435,0.19648739695549,-0.229339614510536,1,-0.699999988079071,1.04985523223877,-0.675873756408691
74687500.00,1.21973145008087,0.194254547357559,-0.22879533469677,1,-0.699999988079071,1.08441424369812,-0.663606226444244
74791666.67,0.866407096385956,0.196521028876305,-0.223934084177017,1,-0.699999988079071,1.04391968250275,-0.652770280838013
74895833.33,0.0663746297359467,0.19770073890686,-0.223540216684341,1,-0.699999988079071,1.02246475219727,-0.615402460098267
75000000.00,-0.755359530448914,0.199094384908676,-0.223417311906815,1,-0.699999988079071,0.998183846473694,-0.627274751663208
75104166.67,-1.18706107139587,0.199766129255295,-0.223786145448685,1,-0.699999988079071,0.985517084598541,-0.710083723068237
75208333.33,-1.05359840393066,0.198613092303276,-0.226894378662109,1,-0.699999988079071,1.00221693515778,-0.717487215995789
75312500.00,-0.438847035169601,0.198512896895409,-0.227233305573463,1,-0.699999988079071,1.00229203701019,-0.720388054847717
75416666.67,0.41248020529747,0.196764692664146,-0.227655172348022,1,-0.699999988079071,1.03065705299377,-0.715344548225403
75520833.33,1.07108676433563,0.19585032761097,-0.229715824127197,1,-0.699999988079071,1.04345607757568,-0.665749073028564
75625000.00,1.26672637462616,0.193266063928604,-0.227426543831825,1,-0.699999988079071,1.08381509780884,-0.661782503128052
75729166.67,0.844674527645111,0.194598287343979,-0.226142302155495,1,-0.699999988079071,1.05977869033813,-0.657327353954315
75833333.33,0.0482358075678349,0.195859521627426,-0.225799888372421,1,-0.699999988079071,1.03638684749603,-0.624479174613953
75937500.00,-0.784541368484497,0.197405949234962,-0.225907281041145,1,-0.699999988079071,1.00809741020203,-0.664909899234772
76041666.67,-1.18396437168121,0.198620915412903,-0.226584628224373,1,-0.699999988079071,0.986573696136475,-0.684601664543152
76145833.33,-1.07489264011383,0.197801545262337,-0.225457966327667,1,-0.699999988079071,0.998930096626282,-0.697171330451965
76250000.00,-0.418227523565292,0.198200419545174,-0.226837381720543,1,-0.699999988079071,0.990072071552277,-0.697705745697021
76354166.67,0.409507602453232,0.198577329516411,-0.22791600227356,1,-0.699999988079071,0.982955157756805,-0.687936365604401
76458333.33,1.06732547283173,0.195139110088348,-0.23063126206398,1,-0.699999988079071,1.03721916675568,-0.708331406116486
76562500.00,1.25438463687897,0.190580666065216,-0.227971971035004,1,-0.699999988079071,1.10989236831665,-0.686724066734314
76666666.67,0.810886442661285,0.192698895931244,-0.226379290223122,1,-0.699999988079071,1.07225406169891,-0.670061230659485
76770833.33,-0.0219188947230577,0.193340718746185,-0.226743832230568,1,-0.699999988079071,1.05931532382965,-0.624044001102448
76875000.00,-0.813819944858551,0.194986432790756,-0.227679222822189,1,-0.699999988079071,1.02863895893097,-0.674065709114075
76979166.67,-1.18977665901184,0.198416128754616,-0.225582435727119,1,-0.699999988079071,0.969514489173889,-0.702780067920685
77083333.33,-1.03448379039764,0.19807493686676,-0.227402299642563,1,-0.699999988079071,0.974228918552399,-0.698365151882172
77187500.00,-0.354688227176666,0.195665910840034,-0.229588612914085,1,-0.699999988079071,1.0128048658371,-0.68428361415863
77291666.67,0.422343879938126,0.197103545069695,-0.230561688542366,1,-0.699999988079071,0.986093521118164,-0.719757378101349
77395833.33,1.13519966602325,0.190933555364609,-0.230772644281387,1,-0.699999988079071,1.08636367321014,-0.690083026885986
77500000.00,1.20206046104431,0.192015752196312,-0.228964373469353,1,-0.699999988079071,1.06562256813049,-0.657635092735291
77604166.67,0.757464230060577,0.193031594157219,-0.229041948914528,1,-0.699999988079071,1.04702198505402,-0.640832304954529
77708333.33,0.0159684680402279,0.195736229419708,-0.225677415728569,1,-0.699999988079071,1.00018334388733,-0.639947652816772
77812500.00,-0.862014830112457,0.192789882421494,-0.223642095923424,1,-0.699999988079071,1.04583323001862,-0.672544121742249
77916666.67,-1.17625617980957,0.198507755994797,-0.226601094007492,1,-0.699999988079071,0.949015080928802,-0.673349142074585
78020833.33,-1.02206265926361,0.193862438201904,-0.228824511170387,1,-0.699999988079071,1.02547025680542,-0.730847358703613
78125000.00,-0.449462980031967,0.196989104151726,-0.227372020483017,1,-0.699999988079071,0.971047639846802,-0.766405344009399
78229166.67,0.517183482646942,0.191379874944687,-0.231800019741058,1,-0.699999988079071,1.06246423721313,-0.713329315185547
78333333.33,1.10253655910492,0.190584763884544,-0.234533354640007,1,-0.699999988079071,1.07344973087311,-0.682277321815491
78437500.00,1.21313834190369,0.19161120057106,-0.230208173394203,1,-0.699999988079071,1.05377173423767,-0.708876669406891
78541666.67,0.784873843193054,0.191787526011467,-0.227546036243439,1,-0.699999988079071,1.04712021350861,-0.638209044933319
78645833.33,-0.0492408089339733,0.192670792341232,-0.228599488735199,1,-0.699999988079071,1.03126847743988,-0.594143152236938
78750000.00,-0.816401302814484,0.194804951548576,-0.228162661194801,1,-0.699999988079071,0.993565320968628,-0.66824209690094
78854166.67,-1.18571209907532,0.195390343666077,-0.22891540825367,1,-0.699999988079071,0.982213079929352,-0.715250194072723
78958333.33,-1.00039088726044,0.195330396294594,-0.233004063367844,1,-0.699999988079071,0.98224139213562,-0.689779460430145
79062500.00,-0.345945537090302,0.195543974637985,-0.231207743287086,1,-0.699999988079071,0.977571845054626,-0.707478523254395
79166666.67,0.468195647001266,0.194365665316582,-0.230856031179428,1,-0.699999988079071,0.995251893997192,-0.696376144886017
79270833.33,1.08266222476959,0.192786619067192,-0.232178553938866,1,-0.699999988079071,1.02000463008881,-0.630293011665344
79375000.00,1.23456108570099,0.188758686184883,-0.23153218626976,1,-0.699999988079071,1.08483910560608,-0.662827789783478
